,Dominant_Topic,Perc_Contribution,Topic_Keywords,Title,ID,Teacher_id
119,15,0.3366,"network, time, design, propose, high, control, low, dynamic, work, agent",P2ptv traffic localization by deep packet inspection,145,23
120,15,0.3214,"network, time, design, propose, high, control, low, dynamic, work, agent",P2P traffic localization by forcing packet loss,146,23
121,15,0.4797,"network, time, design, propose, high, control, low, dynamic, work, agent",A Router-aided P2P Trafic Localization Method with Bandwidth Limitation,152,23
122,15,0.3767,"network, time, design, propose, high, control, low, dynamic, work, agent",A Peer List Modification Method for P2PTV Traffic Localization,156,23
123,15,0.3301,"network, time, design, propose, high, control, low, dynamic, work, agent",On the Relationship between Chunk Loss Ratio and Quality of Experience on P2PTV,157,23
124,15,0.2753,"network, time, design, propose, high, control, low, dynamic, work, agent",Link prediction in co-authorship networks based on hybrid content similarity metric,159,26
125,8,0.375,"base, use, method, propose, system, result, paper, approach, feature, show",Generating discourse structures for written text,160,26
126,8,0.4273,"base, use, method, propose, system, result, paper, approach, feature, show",An approach to abstractive text summarization,161,26
127,8,0.4911,"base, use, method, propose, system, result, paper, approach, feature, show",A study to improve the efficiency of a discourse parsing system,162,26
128,8,0.3534,"base, use, method, propose, system, result, paper, approach, feature, show",Natural language interface construction using semantic grammars,163,26
129,8,0.5677,"base, use, method, propose, system, result, paper, approach, feature, show",Automated discourse segmentation by syntactic information and cue phrases,164,26
130,8,0.4755,"base, use, method, propose, system, result, paper, approach, feature, show",Automatic feature selection for named entity recognition using genetic algorithm,165,26
131,21,0.2393,"datum, rule, case, process, application, domain, build, knowledge, property, perform",Combining proper name-coreference with conditional random fields for semi-supervised named entity recognition in Vietnamese text,166,26
132,8,0.5124,"base, use, method, propose, system, result, paper, approach, feature, show",Named entity recognition in Vietnamese text using label propagation,169,26
133,8,0.4703,"base, use, method, propose, system, result, paper, approach, feature, show",Extracting phrases in Vietnamese document for summary generation,170,26
134,8,0.4149,"base, use, method, propose, system, result, paper, approach, feature, show",Optimizing genetic algorithm in feature selection for named entity recognition,171,26
135,8,0.5222,"base, use, method, propose, system, result, paper, approach, feature, show",Relation extraction in Vietnamese text using conditional random fields,172,26
136,21,0.2566,"datum, rule, case, process, application, domain, build, knowledge, property, perform",Name entity recognition using inductive logic programming,173,26
137,8,0.4191,"base, use, method, propose, system, result, paper, approach, feature, show",Using cohesive devices to recognize rhetorical relations in text,175,26
138,8,0.3074,"base, use, method, propose, system, result, paper, approach, feature, show",Semi-supervised learning for relation extraction in vietnamese text,176,26
139,8,0.3277,"base, use, method, propose, system, result, paper, approach, feature, show",Efficient syntactic parsing with beam search,181,26
140,8,0.4516,"base, use, method, propose, system, result, paper, approach, feature, show",A frame-based approach to text generation,182,26
141,3,0.3753,"detection, detect, error, regression, automate, attack, identification, discover, kind, retrieval",Anomaly Detection with Multinomial Logistic Regression and Naïve Bayesian.,187,1
142,8,0.2876,"base, use, method, propose, system, result, paper, approach, feature, show",DGA Botnet Detection Using Supervised Learning Methods.,189,1
143,8,0.2937,"base, use, method, propose, system, result, paper, approach, feature, show",A novel SDN controller based on Ontology and Global Optimization for heterogeneous IoT architecture.,190,1
144,15,0.2963,"network, time, design, propose, high, control, low, dynamic, work, agent",Predicting the performance of multi-agent based simulation with Ethernet switched clusters.,192,2
145,15,0.347,"network, time, design, propose, high, control, low, dynamic, work, agent",Reliable Multicast Protocol in Distributed Simulation for Multi-agent Systems.,193,2
146,8,0.2455,"base, use, method, propose, system, result, paper, approach, feature, show",An Efficient Parallel Method for Optimizing Concurrent Operations on Social Networks.,194,2
147,8,0.252,"base, use, method, propose, system, result, paper, approach, feature, show",Optimizing the shortest path query on large-scale dynamic directed graph.,195,2
148,9,0.2718,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Energy-balanced and fault-tolerant clustering routing protocol for event driven WSNs.,196,4
149,15,0.2357,"network, time, design, propose, high, control, low, dynamic, work, agent",Multipath routing for cluster-based and event-based protocols in wireless sensor networks.,197,4
150,8,0.1936,"base, use, method, propose, system, result, paper, approach, feature, show",A family system based evolutionary algorithm for obstacle-evasion minimal exposure path problem in Internet of Things.,198,5
151,8,0.2119,"base, use, method, propose, system, result, paper, approach, feature, show",Multi-UAV Assisted Data Gathering in WSN: A MILP Approach For Optimizing Network Lifetime.,199,5
152,15,0.2403,"network, time, design, propose, high, control, low, dynamic, work, agent",Improved Compact Routing Schemes for Random Interconnects.,200,5
153,15,0.2591,"network, time, design, propose, high, control, low, dynamic, work, agent",Efficient Landmark-Based Compact Routing for Random Interconnection Topologies.,201,5
154,8,0.2455,"base, use, method, propose, system, result, paper, approach, feature, show",Fast Detection and Mitigation to DDoS Web Attack Based on Access Frequency.,202,5
155,8,0.3227,"base, use, method, propose, system, result, paper, approach, feature, show",Balanced landmark-based graph partitioning with application in navigating with limited resources.,203,5
156,15,0.4138,"network, time, design, propose, high, control, low, dynamic, work, agent",Distributed Shortcut Networks: Low-Latency Low-Degree Non-Random Topologies Targeting the Diameter and Cable Length Trade-Off.,204,5
157,15,0.2729,"network, time, design, propose, high, control, low, dynamic, work, agent",An Efficient Compact Routing Scheme for Interconnection Topologies based on the Random Model.,205,5
158,8,0.2633,"base, use, method, propose, system, result, paper, approach, feature, show",FDDA: A Framework For Fast Detecting Source Attack In Web Application DDoS Attack.,206,5
159,15,0.3619,"network, time, design, propose, high, control, low, dynamic, work, agent",Layout-Conscious Expandable Topology for Low-Degree Interconnection Networks.,207,5
160,18,0.3522,"event, online, report, article, review, boundary, early, shape, load, subject",A Distributed Algorithm For Monitoring An Expanding Hole In Wireless Sensor Networks.,208,5
161,15,0.3475,"network, time, design, propose, high, control, low, dynamic, work, agent",An Interconnection Network Exploiting Trade-Off between Routing Table Size and Path Length.,209,5
162,9,0.2593,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",A Time and Energy Efficient Protocol for Locating Coverage Holes in WSNs.,210,5
163,18,0.3122,"event, online, report, article, review, boundary, early, shape, load, subject",A Distributed Protocol for Detecting and Updating Hole Boundary in Wireless Sensor Networks.,211,5
164,15,0.4083,"network, time, design, propose, high, control, low, dynamic, work, agent",Robust and Efficient Custom Routing for Interconnection Networks with Distributed Shortcuts.,212,5
165,9,0.2855,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Hole Approximation-Dissemination Scheme for Bounded-Stretch Routing in Sensor Networks.,213,5
166,8,0.2147,"base, use, method, propose, system, result, paper, approach, feature, show",GameGuard: a windows-based software architecture for protecting online games against hackers.,214,5
167,8,0.3269,"base, use, method, propose, system, result, paper, approach, feature, show",Integrating open data and generating travel itinerary in semantic-aware tourist information system.,215,6
168,8,0.2783,"base, use, method, propose, system, result, paper, approach, feature, show",Entropy correlation-based clustering method for representative data aggregation in wireless sensor networks.,217,7
169,8,0.2589,"base, use, method, propose, system, result, paper, approach, feature, show",Entropy Correlation and Its Impacts on Data Aggregation in a Wireless Sensor Network.,218,7
170,9,0.2749,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Correlation-based clustering in wireless sensor network for energy saving protocol.,220,7
171,8,0.2506,"base, use, method, propose, system, result, paper, approach, feature, show",User Scheduling for Precoded Satellite Systems with Individual Quality of Service Constraints.,221,8
172,8,0.2097,"base, use, method, propose, system, result, paper, approach, feature, show",User Scheduling and Power Allocation for Precoded Multi-Beam High Throughput Satellite Systems with Individual Quality of Service Constraints.,222,8
173,8,0.4046,"base, use, method, propose, system, result, paper, approach, feature, show",A Novel Residual Frequency Estimation Method for GNSS Receivers.,223,8
174,8,0.3546,"base, use, method, propose, system, result, paper, approach, feature, show",Situational Awareness: Mapping Interference Sources in Real-Time Using a Smartphone App.,224,8
175,8,0.3068,"base, use, method, propose, system, result, paper, approach, feature, show",Combined GPS L1C/A and L2C signal acquisition architectures leveraging differential combination.,225,8
176,8,0.4508,"base, use, method, propose, system, result, paper, approach, feature, show",Recent results in receiving and decoding signals from the Beidou system.,226,8
177,8,0.3326,"base, use, method, propose, system, result, paper, approach, feature, show",A robust acquisition architecture for GPS safety-of-life L5 Signal.,227,8
178,8,0.4072,"base, use, method, propose, system, result, paper, approach, feature, show",Significance of Cell-Correlation Phenomenon in GNSS Matched Filter Acquisition Engines.,228,8
179,8,0.3606,"base, use, method, propose, system, result, paper, approach, feature, show",Partial Differential Postcorrelation Processing for GPS L2C Signal Acquisition.,229,8
180,8,0.3272,"base, use, method, propose, system, result, paper, approach, feature, show",A novel method for estimating residual carrier frequency offset in GPS L2C receivers.,230,8
181,8,0.3911,"base, use, method, propose, system, result, paper, approach, feature, show",Deflation-based power iteration clustering.,231,9
182,8,0.3788,"base, use, method, propose, system, result, paper, approach, feature, show",Comprehensive Context Recognizer Based on Multimodal Sensors in a Smartphone.,232,9
183,8,0.2776,"base, use, method, propose, system, result, paper, approach, feature, show",GPARS: a general-purpose activity recognition system.,233,9
184,8,0.2988,"base, use, method, propose, system, result, paper, approach, feature, show",Towards Smart Homes Using Low Level Sensory Data.,234,9
185,8,0.2852,"base, use, method, propose, system, result, paper, approach, feature, show",A Fast Implementation of Semi-Markov Conditional Random Fields.,235,9
186,8,0.331,"base, use, method, propose, system, result, paper, approach, feature, show",Emotional speech classification using hidden conditional random fields.,236,9
187,8,0.1957,"base, use, method, propose, system, result, paper, approach, feature, show",Secured WSN-integrated cloud computing for u-Life Care.,237,9
188,8,0.5809,"base, use, method, propose, system, result, paper, approach, feature, show",An Improved Maximum Relevance and Minimum Redundancy Feature Selection Algorithm Based on Normalized Mutual Information.,238,9
189,8,0.2866,"base, use, method, propose, system, result, paper, approach, feature, show",Design and implementing Big Data system for cardiovascular data.,240,10
190,8,0.4181,"base, use, method, propose, system, result, paper, approach, feature, show",Magnetoelectric Vortex Magnetic Field Sensors Based on the Metglas/PZT Laminates.,241,10
191,8,0.4276,"base, use, method, propose, system, result, paper, approach, feature, show",Aligning Multi Sequences on GPUs.,242,10
192,8,0.4756,"base, use, method, propose, system, result, paper, approach, feature, show",Password recovery for encrypted ZIP archives using GPUs.,243,10
193,8,0.2648,"base, use, method, propose, system, result, paper, approach, feature, show",Plan Model - An Activity Theory Based Approach.,244,10
194,8,0.4239,"base, use, method, propose, system, result, paper, approach, feature, show","Translation from BPMN to BPEL, current techniques and limitations.",245,10
195,13,0.4269,"system, user, service, iot, resource, architecture, application, internet, item, represent",Auto-Updating Portable Application Model of Multi-Cloud Marketplace Through Bidirectional Transformations System.,246,10
196,8,0.2677,"base, use, method, propose, system, result, paper, approach, feature, show",Parallel PageRank computation using GPUs.,247,10
197,8,0.4485,"base, use, method, propose, system, result, paper, approach, feature, show",Compiling ML polymorphism with explicit layout bitmap.,248,10
198,8,0.5452,"base, use, method, propose, system, result, paper, approach, feature, show",Improvement of K-nearest Neighbors (KNN) Algorithm for Network Intrusion Detection Using Shannon-Entropy.,249,11
199,8,0.3439,"base, use, method, propose, system, result, paper, approach, feature, show",BKIDset - A New Intrusion Detection Dataset To Mitigate The Class Imbalance Problem.,250,11
200,20,0.2524,"model, neural, deep, topic, material, suitable, storage, key, express, short",Enhanced Group-Based Key Management Scheme for Wireless Sensor Networks using Deployment Knowledge.,251,11
201,15,0.335,"network, time, design, propose, high, control, low, dynamic, work, agent",Minimizing the Intrusion Detection Modules in Wireless Sensor Networks.,252,11
202,15,0.3037,"network, time, design, propose, high, control, low, dynamic, work, agent",Optimal Selection and Activation of Intrusion Detection Agents for Wireless Sensor Networks.,254,11
203,8,0.2788,"base, use, method, propose, system, result, paper, approach, feature, show",RainPredRNN: A New Approach for Precipitation Nowcasting with Weather Radar Echo Images Based on Deep Learning.,256,12
