,id,title,abstract,teacher_id,Cluster_ID,Keyword
10,14,Playback of content pre-delivered to a user device,"Systems and methods for displaying content pre-delivered to a user device, playing back content pre-delivered to a user device, and/or pre-delivering content to a user device during concurrent content playback, are described. In some embodiments, the systems and methods include or interact with a mobile application that displays descriptions of content available for playback via the mobile application along with indicators that represent a state of delivery (eg, a state of pre-delivery) for the content items.",1,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
11,15,Improving the video transmission quality over IP network,"Nowadays, the application of Video transmission on Internet tends to require large bandwidth, which makes the network overloaded. Furthermore, parameters such as packet delay, jitter, and low throughput have significantly reduced the video quality of the receiver, which reduces the end-user's efficiency of work or entertainment. In this paper, we propose a solution to improve the queue management mechanism BLUE to ensure the quality of the video data stream which always requires large resources when the state of network transmission is unstable. We carry out this by prioritizing video packet and ensuring network resources for more powerful video packets than other common packets. Experimental simulation based on NS-2 shows that our proposal has significantly improved video quality at the receiver while maintaining the flow of data transmitted on the network in an acceptable range.",1,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
12,16,Content source discovery,"Systems and methods for discovering content sources and/or delivering content to applications resident on mobile devices are described. In some embodiments, the systems and methods transmit information identifying one or more applications resident on a mobile device to a server, receive, from the server, information associated with content items available for retrieval from a content server and associated with the identified one or more applications, and cause the mobile device to retrieve at least one of the content items available for retrieval from the content server.",1,12,based using model search data vietnamese optimization recognition approach mobile problem path routing learning system 
13,17,Labour provisions in preferential trade agreements: potential opportunities or challenges to Vietnam?,"In this research, we discuss the impacts of labour provisions in preferential trade agreements (PTAs) to which Vietnam is a party in aspects of politics, institutions, law and economy. We find that the impacts are a mixture of both positives and negatives. Positive effects include a more and more developed and well-established domestic labour legal framework, stronger domestic political commitment to labour reforms, more stabilized political environment, higher level of labour protection, higher wages, better working conditions and better life, higher productivity and competitiveness of goods and services and more foreign direct investment. Negative effects include potential political risks of state sovereignty weakening, reduction in competitiveness because of rising labour costs and undermined trade and economic growth resulting from trade-based sanctions in labour disputes. Both positive effects and negative effects exist as possibilities and whether they are materialized and which of them outweighs depend on reactions taken by Vietnam. Proposals for Vietnam to benefit from labour commitments include improving the domestic labour law system and efficiency of state administration and enforcement of domestic labour law, changing the economy from factor-based to efficiency-based status, making relevant institutional reforms, introducing the trade-related labour topic into the academic setting, performing studies on the impacts of labour provisions in PTAs, set up strategies and tactics in PTAs’ labour negotiations, joining forces with other trade partners of the same interest, effective exploitation of cooperation mechanisms in PTAs and proposing …",1,12,based using model search data vietnamese optimization recognition approach mobile problem path routing learning system 
14,18,SHIOT: A novel SDN-based framework for the heterogeneous Internet of Things,"A new measurable and quantifiable world is created by the Internet of Things. However, the variety of IoT components, ie, devices, access technologies and applications, which are deployed on the same core infrastructure with a common network policy have led to an unexpected issue of heterogeneity. Such issue directly dismisses the interoperability in the IoT, and hence, significantly decreasing the QoS of a given IoT service. In this paper, we develop a SDN-based framework, called SHIOT to address the above challenge. SHIOT relies on the ontology for examining the end-user requests and applies a SDN controller to classify flow scheduling over the task level. We also utilize the Lagrange relaxation theory to optimize the routing mechanism. Extensive experiments demonstrate that SHIOT is able to support stressed networks and offers a significant advantage over the traditional framework that is integrated without SDN.",1,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
15,19,A novel SDN controller based on ontology and global optimization for heterogeneous IoT architecture,"Today, our modern living world is covered by ubiquitous systems that offer the ability to assess, understand and handle the environmental indicators of our urban environment as well as our delicate ecology and natural resources. The sudden increase of such systems creates the notion of Internet of Things (IoT). However, the variety of components and wide-area deployments in IoT create a disadvantage point: the heterogeneity problem. Such system has multiple heterogeneous wireless communication solutions with multiple access technologies such as bluetooth, wifi, zigbee, cellular, MANET, etc. Concretely, the effectiveness is revealed by a variety of access technologies that are working on a common core network with a common policy for every type of access network. The challenge is how to manage this heterogeneous network in a dynamic context with an open and distributed infrastructure. One of the most …",1,10,based using model vietnamese data search optimization algorithm system mobile problem routing recognition learning approach 
16,20,Does seller status matter in inter-corporate asset sales?,"This paper examines the returns of asset acquirers when sellers have different statuses. We find that private sellers create lower returns for acquirers and receive higher premiums than public sellers. Both private equity and private operating sellers generate lower returns for acquirers than public sellers, but their relative gain differences are not significantly different. In addition, the gain difference cannot be explained by acquirer characteristics, sample selection effects, or means of payments, but it increases with sellers’ director ownership. We examine alternative theories to explain our results. While we do not find supportive evidence for the synergy creation and information symmetry hypothesis, we find ample evidence for the manager discretion hypothesis.",1,6,using based search vietnamese model mobile data optimization system approach recognition knowledge problem networks method 
17,23,End to end message encryption using Poly1305 and XSalsa20 in low power and lossy networks,"Security has been considered as a key concern in real world deployments of Low power and Lossy networks (LLNs). It has been challenging to ensure a secure communication between the constrained devices. IPSec and DTLS are known not to be amenable to immediate LLN applications due to their memory footprint and the amount of traffic established during their session. In this paper, we propose to use the so-called Authenticated Encryption (AE) that is based on Poly1305 and XSalsa20 to provide confidentiality, integrity and authenticity over the data packets. Experiments are carried out using Contiki OS, an open source operating system for the Internet of Things. They demonstrate that AE has extremely high speed, requires very little resource, and can be implemented in constrained environments.",1,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
18,24,Takeover pressure and corporate diversification,"This paper shows theoretically and empirically that the takeover market is an effective external force of discipline for corporate diversification. First, we derive a simple model that highlights the managers’ incentives to overdiversify their firm. In the absence of a takeover threat, managers may structure their firm suboptimally in pursuit of private benefits. However, facing a threat of takeover, managers will de-diversify to maximize firms’ value in fear of being acquired and replaced. We also discuss the discipline role of the takeover market in competitive and non-competitive environment, and its interactions with other monitoring mechanisms. Second, we test three hypotheses generated from the model:(1) state anti-takeover index increases diversification;(2) the disciplinary effect is more pronounced in non-competitive industries;(3) the effect is lower when firms are monitored more intensively. The empirical results are strongly consistent with these predictions, and robust to alternative measurements diversification, and censored and truncated data.",1,9,recognition algorithm routing network detection networks using search multiple problem machine prediction fast software power 
19,25,Supervisory Shopping in the Banking Sector: When Is It Socially Desirable?,"This paper analyzes the welfare impact of supervisory shopping in the banking sector. Supervisory shopping leads to a welfare-increasing"" race to the top"" among supervisors, if strong supervision increases banks' access to deposits by signaling that banks have a less risky balance sheet. However, if deposits are subsidized through an underpriced financial safety net, banks shop for a weak supervisor in order to maximize gains from risk-shifting. Supervisory shopping then precipitates a"" race to the bottom."" In an extension of the framework, contingent convertible bonds (CoCos) prevent banks from risk-shifting and supervisory shopping becomes socially desirable again.",1,9,recognition algorithm routing network detection networks using search multiple problem machine prediction fast software power 
20,26,Pre-delivery of content to a user device,"Systems and methods for delivering content to user devices before the content is selected or requested (eg, a pre-delivery of content) are described. In some embodiments, the system and methods receive, from a content server, information associated with content items available for retrieval from the content server and associated with one or more applications resident on a user device, select a subset of content items from the content items available for retrieval to deliver to the user device based on content usage information associated with the user device, and cause the user device to retrieve at least a portion of the selected subset of content items from the content server.",1,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
21,27,Analyzing Kleinberg's (and other) small-world models,"We analyze the properties of Small-World networks, where links are much more likely to connect"" neighbor nodes"" than distant nodes. In particular, our analysis provides new results for Kleinberg's Small-World model and its extensions. Kleinberg adds a number of directed long-range random links to an nxn lattice network (vertices as nodes of a grid, undirected edges between any two adjacent nodes). Links have a non-uniform distribution that favors arcs to close nodes over more distant ones. He shows that the following phenomenon occurs: between any two nodes a path with expected length O (log 2 n) can be found using a simple greedy algorithm which has no global knowledge of long-range links. We show that Kleinberg's analysis is tight: his algorithm achieves θ (log 2 n) delivery time. Moreover, we show that the expected diameter of the graph is θlog n), a log n factor smaller. We also extend our results to …",5,12,based using model search data vietnamese optimization recognition approach mobile problem path routing learning system 
22,28,Analyzing and characterizing small-world graphs,"We study variants of Kleinberg's small-world model where we start with a k-dimensional grid and add a random directed edge from each node. The probability u's random edge is to v is proportional to d (u, v)-r where d (u, v) is the lattice distance and r is a parameter of the model. For a k-dimensional grid, we show that these graphs have poly-log expected diameter when k< r< 2k, but have polynomial expected diameter when r> 2k. This shows an interesting phase-transition between small-world and"" large-world"" graphs. We also present a general framework to construct classes of small-world graphs with Θ (log n) expected diameter, which includes several existing settings such as Kleinberg's grid-based and tree-based settings [15]. We also generalize the idea of'adding links with probability α the inverse distance'to design small-world graphs. We use semi-metric and metric functions to abstract distance to create a …",5,6,using based search vietnamese model mobile data optimization system approach recognition knowledge problem networks method 
23,29,Distributed hole-bypassing protocol in WSNs with constant stretch and load balancing,"Geographic routing has been widely used in wireless sensor networks because of its simplicity and efficiency resulting from its local and stateless nature. However, when subjected to routing holes (ie, regions without sensor nodes that have communication capability), geographic routing suffers from the so-called local minimum phenomenon, where packets are stopped at the hole boundary. This local minimum phenomenon results in problems of load imbalance (ie, a higher traffic intensity around the hole boundary) and routing path enlargement due to the long hole detour paths. Although several protocols have been proposed to address these issues, the load imbalance problem has not been solved thoroughly, and none of the existing protocols can solve both of these problems. In this article, we propose a distributed hole-bypassing routing protocol named ACOBA (Adaptive forbidden area-based COnstant …",5,12,based using model search data vietnamese optimization recognition approach mobile problem path routing learning system 
24,30,An energy efficient and load balanced distributed routing scheme for wireless sensor networks with holes,"In this paper we present a new approach to route packets in the presence of routing holes. In our proposal, nodes cooperate to determine the approximate polygon of a specific hole and then exchange information about the approximate polygon. Based on the hole covering parallelogram and the hole view angle of a specific node, packets can be forwarded along an escape route that bends around the hole. We rigorously prove that the Euclidean stretch of an escape route is bounded. Simulation results show that the proposed scheme can save more than 16% of the energy consumption and 7% of the network lifetime in the comparison with existing routing algorithms. The average length of routing paths in our approach is less than 60% of other routing schemes.",5,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
25,31,A multiplicative finite strain crystal plasticity formulation based on additive elastic corrector rates: Theory and numerical implementation,"The purpose of continuum plasticity models is to efficiently predict the behavior of structures beyond their elastic limits. The purpose of multiscale materials science models, among them crystal plasticity models, is to understand the material behavior and design the material for a given target. The current successful continuum hyperelastoplastic models are based in the multiplicative decomposition from crystal plasticity, but significant differences in the computational frameworks of both approaches remain, making comparisons not straightforward.",5,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
26,32,Distributed shortcut networks: Low-latency low-degree non-random topologies targeting the diameter and cable length trade-off,"Low communication latency becomes a main concern in highly parallel computers and supercomputers that reach millions of processing cores. Random network topologies are better suited to achieve low average shortest path length and low diameter in terms of the hop counts between nodes. However, random topologies lead to two problems: (1) increased aggregate cable length on a machine room floor that would become dominant for communication latency in next-generation custom supercomputers, and (2) high routing complexity that typically requires a routing table at each node (e.g., topology-agnostic deadlock-free routing). In this context, we first propose low-degree non-random topologies that exploit the small-world effect, which has been well modeled by some random network models. Our main idea is to carefully design a set of various-length shortcuts that keep the diameter small while maintaining a …",5,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
27,33,Computational modeling of dislocation slip mechanisms in crystal plasticity: a short review,"The bridge between classical continuum plasticity and crystal plasticity is becoming narrower with continuously improved computational power and with engineers’ desire to obtain more information and better accuracy from their simulations, incorporating at the same time more effects about the microstructure of the material. This paper presents a short overview of the main current techniques employed in crystal plasticity formulations for finite element analysis, as to serve as a point of departure for researchers willing to incorporate microstructure effects in elastoplastic simulations. We include both classical and novel crystal plasticity formulations, as well as the different approaches to model dislocations in crystals.",5,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
28,34,Distributed shortcut networks: Layout-aware low-degree topologies exploiting small-world effect,"Low communication latency becomes a main concern in highly parallel computers and supercomputers. Random network topologies are best to achieve low average shortest path length and low diameter in hop counts between nodes and thus low communication latency. However, random topologies lead to a problem of increased aggregate cable length on a machine room floor. In this context we propose low-degree non-random topologies that exploit the small-world effect, which has been typically well modeled by some random network models. Our main idea is to carefully design a set of various-length shortcuts that keep the diameter small while maintain an economical cable length. Our experimental graph analysis showed that our proposed topology has low diameter and low average shortest path length, which is considerably better than those of a counterpart 2-D torus and is near to those of a counterpart …",5,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
29,35,Efficient approximation of routing holes in wireless sensor networks,"Routing holes in wireless sensor networks (WSN) do occur due to several reasons, including cases caused by natural obstacles or disaster suffered areas. Computing the exact boundary of a hole is possible [5], but can be impractical with large holes. In this paper, we consider the problem of how to approximate a hole by a simplistic shape, covering polygon such that if demanded either the approximation error or the memory space needed for reporting this polygon shape can be made as small as desired. We present an efficient algorithmic scheme that can produce cost-effective and flexible solutions that can be customized to fit to specific situations. Based on the basic BoundHole algorithm for computing the exact hole boundary [5], we propose a two-folded approximation technique:(1) covering the hole with a minimal polygon with edges aligned to a given square grid;(2) dynamically trimming-off this polygon …",5,14,based using model data vietnamese search algorithm recognition optimization routing mobile system problem networks learning 
30,36,Synflood spoof source DDoS attack defence based on packet ID anomaly detection-PIDAD,"A distributed denial-of-service (DDoS) attack characterized by flooding SYN packets is one of the network attacks to make the information system unavailable. This kind of attack becomes dangerous and more difficult to prevent and defense when attackers try to send flood SYN packets with spoof source, especially, there packets have information fields as the normal SYN packets. In this study, we propose a method called Packet Identification Anomaly Detection - PIDAD used to defense type of DDoS attack mentioned above. This method based on abnormal information of identification field in IP Header when observing the set of packets received in the victim system.",5,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
31,37,A distributed protocol for detecting and updating hole boundary in wireless sensor networks,"Holes in sensor network are regions without operating nodes which may occur due to several reasons, including cases caused by natural obstacles or disaster suffered areas. Determining the location and shape of holes can help to monitor these disaster events (such as volcano, tsunami, etc.) or help to make smart, early routing decisions for circumventing a hole. There are many hole determination algorithms have been proposed in the literature. However, all of these algorithms only consider the networks with static holes. Moreover, most of these protocols are conducted in a centralized manner which is not suitable with the resource constraint of sensor nodes. In this paper, we consider the networks with dynamic holes and propose a distributed algorithm which can determine and update the hole boundary very quickly. We also conduct simulation to evaluate performance of proposed protocol.",5,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
32,38,Load balanced routing with constant stretch for wireless sensor network with holes,"Because of its simplicity and scalability, geographic routing is a popular approach in wireless sensor networks, which can achieve a near-optimal routing path in the networks without of holes. With the occurrence of holes, however, geographic routing faces the problems of hole diffusion and routing path enlargement. Several recent proposals attempt to fix these issues by deploying a special, forbidding area around the hole, which helps to improve the congestion on the hole boundary but still causes significant load imbalancing due to static detour routes bypassing this fixed forbidding area. Also, a significant enlargement on routing path is still possible due to the possibly significant difference between this forbidding area and the hole. Another recent approach can achieve a low route stretch (constant bounded) but still, the load imbalancing due to the holes is a concern. In this paper, we introduce a novel approach …",5,10,based using model vietnamese data search optimization algorithm system mobile problem routing recognition learning approach 
33,39,Environment monitoring for anomaly detection system using smartphones,"Currently, the popularity of smartphones with networking capabilities equipped with various sensors and the low cost of the Internet have opened up great opportunities for the use of smartphones for sensing systems. One of the most popular applications is the monitoring and the detection of anomalies in the environment. In this article, we propose to enhance classic road anomaly detection methods using the Grubbs test on a sliding window to make it adaptive to the local characteristics of the road. This allows more precision in the detection of potholes and also building algorithms that consume less resources on smartphones and adapt better to real conditions by applying statistical outlier tests on current threshold-based anomaly detection methods. We also include a clustering algorithm and a mean shift-based algorithm to aggregate reported anomalies on data to the server. Experiments and simulations allow us to confirm the effectiveness of the proposed methods.",5,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
34,40,Road anomaly detection using smartphone: A brief analysis,"Identification of road anomaly not only helps drivers to reduce the risk, but also support for road maintenance. Arguably, with the popularity of smartphones including multiple sensors, many road anomaly detection systems using mobile phones have been proposed. This paper aims at analyzing a number of typical road anomaly detection methods in terms of resource requirements, energy consumption, fitness conditions. From these measurements, we suggest some improvement directions to build road anomaly detection algorithms appropriate for smartphones.",5,10,based using model vietnamese data search optimization algorithm system mobile problem routing recognition learning approach 
35,41,An interconnection network exploiting trade-off between routing table size and path length,"Various parallel applications require a low-latency interconnection network to achieve high performance and high scalability. Recently proposed random network topologies achieve low latency, but they require each switch to have a large number of routing table entries, e.g., larger than N for an N-node network, for implementing a minimal routing. In this study, we propose the use of a random network topology with our new routing scheme so that the required routing table size becomes small, e.g., 528 for 8192 nodes, at each switch. Our main finding is that our routing algorithm cannot always follow the minimal paths, but its average path length is still short when compared to that of existing network topologies.",5,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
36,42,Designing low cost networks with short routes and low congestion,"We design network topologies and routing strategies which optimize several measures simultaneously: low cost, small routing diameter, bounded degree and low congestion. This set of design issues is broader than traditional network design and hence, our work is useful and relevant to a set of traditional and emerging design problems. Surprisingly, a simple idea from the research on small-world models, inspires a fruitful approach and useful techniques here.",5,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
37,43,"Small-world graphs: Models, analysis and applications in network designs","Small-world properties are common in many large-scale real-world networks such as social networks, the Internet, or biological networks. In 2000, Kleinberg produced a new model for a striking aspect of acquaintance networks: that short chains can be found using limited local information only (eg a search based on a first-name basis). This model added random links to a 2D grid, such that the random links were more likely to connect closer nodes.",5,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
38,44,On the network orientational affinity assumption in polymers and the micro–macro connection through the chain stretch,"We question the network affinity assumption in modeling chain orientations under polymer deformations, and the use of the stretch measure projected from the right Cauchy–Green deformation tensor (or non-affine micro-stretches derived from that measure) as a basic state variable for the micro–macro transition. These ingredients are standard, taken from the statistical theory of polymers, and used in most micromechanical polymer network and soft tissue models.",5,3,based using model data vietnamese search optimization mobile algorithm problem system recognition routing approach path 
39,45,Energy-efficient routing in the proximity of a complicated hole in wireless sensor networks,"A quest for geographic routing schemes of wireless sensor networks when sensor nodes are deployed in areas with obstacles has resulted in numerous ingenious proposals and techniques. However, there is a lack of solutions for complicated cases wherein the source or the sink nodes are located close to a specific hole, especially in cavern-like regions of large complex-shaped holes. In this paper, we propose a geographic routing scheme to deal with the existence of complicated-shape holes in an effective manner. Our proposed routing scheme achieves routes around holes with the (1+)-stretch. Experimental results show that our routing scheme yields the highest load balancing and the most extended network lifetime compared to other well-known routing algorithms as well.",5,14,based using model data vietnamese search algorithm recognition optimization routing mobile system problem networks learning 
40,46,FDDA: a framework for fast detecting source attack in web application DDoS attack,"Anomaly detection techniques usually require a training phase in order to capture the normality traits (typical features) of a given system which is considered as in a state free of attack. The efficiency of detecting abnormal signals mainly depends on processing time and the quality of featured data learned from the training phase. In this research, we propose a framework for fast detecting DDoS attack (FDDA) which can improve the speed and efficiency in detecting an on-going DDoS attack to web application, and hence greatly reduce the training time.",5,3,based using model data vietnamese search optimization mobile algorithm problem system recognition routing approach path 
41,48,A novel feature selection method based on normalized mutual information,"In this paper, a novel feature selection method based on the normalization of the well-known mutual information measurement is presented. Our method is derived from an existing approach, the max-relevance and min-redundancy (mRMR) approach. We, however, propose to normalize the mutual information used in the method so that the domination of the relevance or of the redundancy can be eliminated. We borrow some commonly used recognition models including Support Vector Machine (SVM), k-Nearest-Neighbor (kNN), and Linear Discriminant Analysis (LDA) to compare our algorithm with the original (mRMR) and a recently improved version of the mRMR, the Normalized Mutual Information Feature Selection (NMIFS) algorithm. To avoid data-specific statements, we conduct our classification experiments using various datasets from the UCI machine learning repository. The results confirm that our …",9,8,based using model vietnamese data algorithm search optimization mobile system learning problem recognition routing approach 
42,49,Semi-Markov conditional random fields for accelerometer-based activity recognition,"Activity recognition is becoming an important research area, and finding its way to many application domains ranging from daily life services to industrial zones. Sensing hardware and learning algorithms are two important components in activity recognition. For sensing devices, we prefer to use accelerometers due to low cost and low power requirement. For learning algorithms, we propose a novel implementation of the semi-Markov Conditional Random Fields (semi-CRF) introduced by Sarawagi and Cohen. Our implementation not only outperforms the original method in terms of computation complexity (at least 10 times faster in our experiments) but also is able to capture the interdependency among labels, which was not possible in the previously proposed model. Our results indicate that the proposed approach works well even for complicated activities like eating and driving a car. The average …",9,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
43,50,Formation of ionospheric irregularities over Southeast Asia during the 2015 St. Patrick's Day storm,"We investigate the geospace response to the 2015 St. Patrick's Day storm leveraging on instruments spread over Southeast Asia (SEA), covering a wide longitudinal sector of the low‐latitude ionosphere. A regional characterization of the storm is provided, identifying the peculiarities of ionospheric irregularity formation. The novelties of this work are the characterization in a broad longitudinal range and the methodology relying on the integration of data acquired by Global Navigation Satellite System (GNSS) receivers, magnetometers, ionosondes, and Swarm satellites. This work is a legacy of the project EquatoRial Ionosphere Characterization in Asia (ERICA). ERICA aimed to capture the features of both crests of the equatorial ionospheric anomaly (EIA) and trough (EIT) by means of a dedicated measurement campaign. The campaign lasted from March to October 2015 and was able to observe the ionospheric …",9,9,recognition algorithm routing network detection networks using search multiple problem machine prediction fast software power 
